"Date","MONTH","CHIRP_KIR","CHIRP_MUY","OBS_KIR","OBS_MUY","ERA5_KIR","ERA5_MUY"
1986-01-01,1,"94.05499999999999","140.271","95.9999998803","116.29999999999998","110.0","166.0"
1986-02-01,2,"87.16999999999999","95.386","71.8999999636","100.10000000000001","107.0","160.0"
1986-03-01,3,"119.99000000000001","121.35800000000002","146.39999985179998","159.1","140.0","230.0"
1986-04-01,4,"318.27500000000003","279.964","354.49999946070005","341.6999999999999","307.0","330.0"
1986-05-01,5,"85.22800000000004","84.36699999999998","67.69999993260001","57.50000000000001","132.0","161.0"
1986-06-01,6,"14.292","8.506","47.6999999806","43.7","18.0","17.0"
1986-07-01,7,"0.5479999999999999","0.515","0.0","0.0","0.0","0.0"
1986-08-01,8,"8.32","4.478000000000001","0.0","1.4","7.0","7.0"
1986-09-01,9,"42.853","30.827","41.1999999769","30.099999999999998","60.0","52.0"
1986-10-01,10,"136.88400000000001","134.838","204.29999975709998","182.39999999999998","199.0","254.0"
1986-11-01,11,"139.885","165.06799999999996","111.39999985780001","164.00000000000003","216.0","293.0"
1986-12-01,12,"93.305","101.62299999999996","76.0999998715","51.8","178.0","263.0"
1987-01-01,1,"98.90499999999999","130.868","107.69999995769999","145.30000000000004","140.0","217.0"
1987-02-01,2,"92.71100000000001","77.481","94.19999996009999","63.300000000000004","156.0","207.0"
1987-03-01,3,"158.40300000000002","161.55100000000002","169.0999999568","236.59999999999997","161.0","228.0"
1987-04-01,4,"147.702","175.83099999999996","136.69999986739998","210.99999999999994","266.0","284.0"
1987-05-01,5,"122.57900000000001","115.047","92.5999999401","184.0","196.0","204.0"
1987-06-01,6,"9.267","3.007","2.7999999998000002","26.8","28.0","22.0"
1987-07-01,7,"3.5269999999999997","1.7260000000000002","0.0","0.0","0.0","0.0"
1987-08-01,8,"12.763000000000002","8.725000000000001","9.7999999797","1.6","22.0","15.0"
1987-09-01,9,"84.43499999999999","92.703","57.499999963099995","141.9","145.0","165.0"
1987-10-01,10,"108.205","101.48500000000001","165.79999993119998","97.89999999999999","124.0","161.0"
1987-11-01,11,"188.459","208.44399999999993","252.0999997592","332.0","177.0","219.0"
1987-12-01,12,"49.388","65.862","26.1999999685","64.9","49.0","101.0"
1988-01-01,1,"118.42900000000002","175.039","72.4999999286","325.49999999999994","110.0","179.0"
1988-02-01,2,"78.689","80.71599999999998","83.4999999618","167.0","58.0","97.0"
1988-03-01,3,"147.261","161.96599999999998","146.8999998833","169.7","165.0","220.0"
1988-04-01,4,"263.906","262.518","263.69999979989996","281.6","213.0","253.0"
1988-05-01,5,"53.762","39.483","40.5999999717","36.800000000000004","64.0","55.0"
1988-06-01,6,"6.676999999999999","1.7109999999999996","2.2999999998","6.2","6.0","5.0"
1988-07-01,7,"3.42","1.3900000000000001","0.0","0.1","1.0","1.0"
1988-08-01,8,"54.919000000000004","39.62","77.89999994259999","63.8","34.0","34.0"
1988-09-01,9,"66.46300000000001","55.065","55.1999998988","30.0","84.0","88.0"
1988-10-01,10,"135.42","136.17600000000002","176.4999997735","187.29999999999998","193.0","206.0"
1988-11-01,11,"136.10199999999998","125.011","178.19999992660001","80.2","202.0","242.0"
1988-12-01,12,"88.26599999999999","108.95100000000001","82.0999998878","125.59999999999998","137.0","192.0"
1989-01-01,1,"81.778","97.05999999999999","80.0999999202","31.60000000000001","87.0","124.0"
1989-02-01,2,"103.173","114.69800000000001","82.1999999247","170.39999999999998","87.0","113.0"
1989-03-01,3,"138.57999999999996","161.87300000000002","109.49999986250002","119.60000000000001","142.0","221.0"
1989-04-01,4,"151.602","149.683","137.7999998775","115.2","171.0","200.0"
1989-05-01,5,"89.20500000000001","65.894","76.4999999115","143.2","114.0","126.0"
1989-06-01,6,"19.618","12.719","48.0999999545","57.49999999999999","18.0","16.0"
1989-07-01,1,"1.38","1.381","30.5","0.0","0.0","0.0"
1989-08-01,2,"36.248","22.264000000000003","56.5999999992","26.400000000000002","19.0","15.0"
1989-09-01,3,"53.318000000000005","52.07","56.1999999497","62.300000000000004","117.0","143.0"
1989-10-01,4,"97.606","108.68600000000002","97.59999987309999","94.39999999999999","176.0","206.0"
1989-11-01,5,"109.18200000000002","114.06800000000001","82.79999989","87.9","158.0","189.0"
1989-12-01,6,"155.754","169.917","123.7999998976","195.79999999999998","147.0","198.0"
1990-01-01,7,"78.33999999999999","79.62299999999999","87.4999999006","72.6","96.0","135.0"
1990-02-01,8,"155.34700000000004","160.25400000000002","165.4999997895","194.9","181.0","209.0"
1990-03-01,9,"136.307","153.651","114.69999992120002","146.99999999999997","218.0","284.0"
1990-04-01,10,"167.10199999999998","149.722","186.89999991680003","111.39999999999999","180.0","235.0"
1990-05-01,11,"82.393","74.561","110.49999988450001","64.6","90.0","106.0"
